epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11254.1,0.64109,0.44501,0.96429,0.99226,0.98354,0.99444,0.79215,0.84718,0.28237,1.10565,0.005842,0.005842,0.005842
44,11514.4,0.64363,0.43898,0.96721,0.98831,0.99152,0.99377,0.79306,0.84226,0.27912,1.10019,0.005743,0.005743,0.005743
45,11742.2,0.63807,0.43426,0.96425,0.99142,0.99153,0.99348,0.79054,0.84606,0.27774,1.1036,0.005644,0.005644,0.005644
46,12005.5,0.6378,0.43002,0.96575,0.98682,0.99457,0.9934,0.79196,0.84662,0.278,1.10479,0.005545,0.005545,0.005545
47,12234.3,0.63207,0.43036,0.96346,0.98774,0.99075,0.99336,0.79087,0.8433,0.27812,1.10189,0.005446,0.005446,0.005446
48,12498.3,0.63533,0.42898,0.9625,0.99114,0.99069,0.99335,0.79303,0.84328,0.27374,1.09938,0.005347,0.005347,0.005347
49,12727.1,0.6341,0.42057,0.96115,0.99247,0.98823,0.99341,0.79305,0.84588,0.27397,1.10006,0.005248,0.005248,0.005248
50,12992.3,0.63058,0.41798,0.96279,0.98997,0.99111,0.9934,0.79266,0.84796,0.27495,1.10303,0.005149,0.005149,0.005149
51,13221.5,0.62885,0.40906,0.96124,0.98959,0.99078,0.99342,0.79312,0.84818,0.27585,1.10328,0.00505,0.00505,0.00505
52,13485.5,0.62636,0.41783,0.96021,0.98884,0.99149,0.99354,0.79227,0.85106,0.2743,1.10562,0.004951,0.004951,0.004951
53,13714.3,0.62623,0.40912,0.96062,0.98764,0.99334,0.99349,0.79189,0.85118,0.27377,1.10678,0.004852,0.004852,0.004852
54,13979.3,0.62792,0.40855,0.96074,0.98827,0.99401,0.99355,0.79157,0.85193,0.27355,1.10701,0.004753,0.004753,0.004753
55,14206.9,0.6222,0.40417,0.96031,0.98791,0.99303,0.9936,0.7925,0.85124,0.27394,1.10722,0.004654,0.004654,0.004654
56,14467.7,0.6235,0.40215,0.95873,0.98792,0.9923,0.99352,0.79268,0.85079,0.27263,1.10672,0.004555,0.004555,0.004555
57,14696.1,0.62067,0.3982,0.95765,0.99397,0.98752,0.99349,0.79193,0.84998,0.27287,1.10662,0.004456,0.004456,0.004456
58,14960.9,0.61813,0.39265,0.95553,0.99266,0.98798,0.99342,0.792,0.85001,0.27261,1.10703,0.004357,0.004357,0.004357
59,15189.6,0.61445,0.39082,0.95573,0.99147,0.98897,0.99342,0.79197,0.84964,0.27283,1.10702,0.004258,0.004258,0.004258
60,15452.8,0.61375,0.38251,0.95448,0.98967,0.98956,0.99341,0.79244,0.84939,0.27267,1.10697,0.004159,0.004159,0.004159
61,15681.5,0.61057,0.37735,0.95282,0.98949,0.98963,0.99341,0.7922,0.84873,0.27241,1.10668,0.00406,0.00406,0.00406
62,15948.8,0.60971,0.38005,0.95516,0.9903,0.9886,0.99339,0.79176,0.84897,0.2728,1.10719,0.003961,0.003961,0.003961
63,16178.3,0.60949,0.37559,0.9548,0.99073,0.98867,0.99337,0.79166,0.84899,0.27272,1.10696,0.003862,0.003862,0.003862
64,16441.5,0.60487,0.37048,0.95019,0.9907,0.9886,0.99342,0.79285,0.84882,0.27253,1.107,0.003763,0.003763,0.003763
65,16669.7,0.6074,0.37395,0.95457,0.99079,0.98856,0.99342,0.79262,0.84961,0.27327,1.1078,0.003664,0.003664,0.003664
66,16933.4,0.60449,0.36239,0.95346,0.99072,0.98875,0.99343,0.79183,0.84897,0.27372,1.10758,0.003565,0.003565,0.003565
67,17161.1,0.60424,0.36693,0.95274,0.99051,0.9889,0.99343,0.79261,0.84889,0.27354,1.1075,0.003466,0.003466,0.003466
68,17421.6,0.59714,0.35755,0.94667,0.99079,0.98874,0.99347,0.79343,0.84938,0.27417,1.10806,0.003367,0.003367,0.003367
69,17649.6,0.59458,0.35197,0.94675,0.99062,0.98885,0.99348,0.79336,0.84883,0.27367,1.10773,0.003268,0.003268,0.003268
70,17913.9,0.59676,0.35344,0.94825,0.99031,0.98908,0.99346,0.79385,0.84883,0.27323,1.10791,0.003169,0.003169,0.003169
71,18142.7,0.59382,0.3581,0.94775,0.98998,0.9893,0.99346,0.79369,0.84902,0.27339,1.10794,0.00307,0.00307,0.00307
72,18405.4,0.59097,0.3478,0.94632,0.98982,0.98937,0.99346,0.7934,0.84918,0.27377,1.10812,0.002971,0.002971,0.002971
73,18634.1,0.58843,0.34332,0.94792,0.98947,0.98979,0.99346,0.79456,0.84891,0.27327,1.10799,0.002872,0.002872,0.002872
74,18900.2,0.58805,0.34198,0.94541,0.98928,0.98964,0.99355,0.7948,0.84895,0.27361,1.10825,0.002773,0.002773,0.002773
