epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,22527.4,0.67227,0.44471,0.96048,0.98697,0.97726,0.99418,0.78355,0.86053,0.2818,1.09858,0.005842,0.005842,0.005842
44,23070.8,0.67304,0.43712,0.96171,0.98561,0.98644,0.9942,0.78494,0.85797,0.27721,1.0967,0.005743,0.005743,0.005743
45,23561.6,0.66625,0.42778,0.95662,0.98606,0.98495,0.99432,0.78606,0.86061,0.27978,1.09832,0.005644,0.005644,0.005644
46,24105.1,0.66794,0.42809,0.95769,0.983,0.98658,0.9945,0.78427,0.86052,0.27674,1.09793,0.005545,0.005545,0.005545
47,24593.8,0.66441,0.42303,0.95816,0.9832,0.9851,0.99447,0.7849,0.86447,0.27613,1.10114,0.005446,0.005446,0.005446
48,25138.2,0.66434,0.42378,0.95926,0.98746,0.98377,0.99442,0.78601,0.86241,0.27426,1.09905,0.005347,0.005347,0.005347
49,25626.6,0.66386,0.41426,0.95827,0.9855,0.9859,0.99445,0.78682,0.86176,0.27332,1.1,0.005248,0.005248,0.005248
50,26171.5,0.65823,0.41493,0.95639,0.97896,0.9919,0.99449,0.78679,0.86194,0.27354,1.10008,0.005149,0.005149,0.005149
51,26660.5,0.65491,0.4047,0.95423,0.98129,0.99348,0.99448,0.7856,0.86281,0.27281,1.10037,0.00505,0.00505,0.00505
52,27204.6,0.64869,0.41569,0.95161,0.98444,0.99076,0.99437,0.78601,0.8637,0.27301,1.10077,0.004951,0.004951,0.004951
53,27694.6,0.64256,0.39923,0.94903,0.98789,0.99008,0.99436,0.78597,0.86342,0.2717,1.10125,0.004852,0.004852,0.004852
54,28238.3,0.63947,0.40082,0.94752,0.9882,0.98934,0.99432,0.78595,0.86417,0.27218,1.10214,0.004753,0.004753,0.004753
55,28729.5,0.63465,0.40096,0.94655,0.9879,0.98927,0.99431,0.78517,0.86464,0.2721,1.10281,0.004654,0.004654,0.004654
56,29273,0.63461,0.39482,0.94661,0.98596,0.99117,0.99448,0.78559,0.8664,0.27144,1.10396,0.004555,0.004555,0.004555
57,29763,0.62944,0.38712,0.94534,0.98529,0.99111,0.99448,0.78662,0.86548,0.27114,1.10387,0.004456,0.004456,0.004456
58,30307.2,0.62478,0.38482,0.94279,0.9886,0.98762,0.99448,0.78865,0.86492,0.27241,1.10393,0.004357,0.004357,0.004357
59,30798,0.62112,0.38247,0.94077,0.98866,0.98738,0.99447,0.7875,0.86553,0.27202,1.10489,0.004258,0.004258,0.004258
60,31342.6,0.61931,0.3758,0.93978,0.98839,0.98707,0.99444,0.78735,0.86555,0.27281,1.10501,0.004159,0.004159,0.004159
61,31832.1,0.61939,0.37044,0.93947,0.9883,0.98635,0.99438,0.78809,0.86561,0.27433,1.10545,0.00406,0.00406,0.00406
62,32375.9,0.61346,0.36926,0.93679,0.98757,0.98639,0.99432,0.78877,0.86612,0.27479,1.10566,0.003961,0.003961,0.003961
63,32867.8,0.6143,0.36986,0.93817,0.98683,0.98654,0.99417,0.78894,0.86545,0.27469,1.10536,0.003862,0.003862,0.003862
64,33411.8,0.60774,0.36576,0.9349,0.98727,0.98617,0.99428,0.78803,0.86466,0.27397,1.1051,0.003763,0.003763,0.003763
65,33904.2,0.61058,0.36491,0.93762,0.98762,0.98597,0.99414,0.78764,0.8646,0.27403,1.10502,0.003664,0.003664,0.003664
66,34448.7,0.60827,0.35753,0.93677,0.98728,0.98604,0.99417,0.78778,0.86397,0.2751,1.10474,0.003565,0.003565,0.003565
67,34938.2,0.60581,0.35616,0.93478,0.98647,0.98623,0.99416,0.78774,0.86351,0.27411,1.10443,0.003466,0.003466,0.003466
68,35483.6,0.59803,0.34956,0.9311,0.98796,0.98586,0.99407,0.78816,0.86407,0.27442,1.10509,0.003367,0.003367,0.003367
69,35973.2,0.59746,0.34343,0.93176,0.98856,0.98576,0.99412,0.78906,0.86446,0.27455,1.10543,0.003268,0.003268,0.003268
70,36518.4,0.59749,0.34754,0.93319,0.98854,0.98571,0.99409,0.78927,0.86449,0.27445,1.10563,0.003169,0.003169,0.003169
